Volatility 3 Framework 2.0.0

PID	Process	Args

4	System	Required memory at 0x20 is not valid (process exited?)
108	Registry	Required memory at 0x20 is not valid (process exited?)
372	smss.exe	\SystemRoot\System32\smss.exe
468	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
544	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
568	wininit.exe	wininit.exe
644	winlogon.exe	winlogon.exe
668	services.exe	C:\WINDOWS\system32\services.exe
708	lsass.exe	C:\WINDOWS\system32\lsass.exe
832	svchost.exe	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p
856	fontdrvhost.ex	Required memory at 0x1bcfe071a28 is inaccessible (swapped)
864	fontdrvhost.ex	Required memory at 0x1fbf9d01a28 is inaccessible (swapped)
952	svchost.exe	C:\WINDOWS\system32\svchost.exe -k RPCSS -p
996	svchost.exe	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p -s LSM
384	LogonUI.exe	Required memory at 0x29d6860020 is not valid (process exited?)
428	dwm.exe	"dwm.exe"
1044	svchost.exe	C:\WINDOWS\System32\svchost.exe -k NetworkService -s TermService
1116	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
1168	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule
1220	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s ProfSvc
1256	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p
1264	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts
1272	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
1392	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UserManager
1404	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s nsi
1412	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
1540	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
1564	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s UmRdpService
1612	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc
1656	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s EventSystem
1664	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain
1692	svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s Themes
1868	MemCompression	Required memory at 0x20 is not valid (process exited?)
1924	svchost.exe	C:\WINDOWS\System32\svchost.exe -k NetworkService -p -s NlaSvc
1936	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s SENS
2040	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder
1092	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s FontCache
1556	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -s CertPropSvc
2056	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2096	svchost.exe	C:\WINDOWS\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation
2148	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalService -p -s netprofm
2200	svchost.exe	C:\WINDOWS\system32\svchost.exe -k NetworkService -p -s Dnscache
2208	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2216	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p
2328	svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s ShellHWDetection
2372	svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s SessionEnv
2552	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc
2564	spoolsv.exe	Required memory at 0x12e1ae8 is inaccessible (swapped)
2612	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
2808	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p
2904	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s IKEEXT
